id,visitors
air_00a91d42b08b08d9_2017-04-23,5.8043
air_00a91d42b08b08d9_2017-04-24,24.6155
air_00a91d42b08b08d9_2017-04-25,28.3784
air_00a91d42b08b08d9_2017-04-26,30.6961
air_00a91d42b08b08d9_2017-04-27,33.0923
air_00a91d42b08b08d9_2017-04-28,37.9011
air_00a91d42b08b08d9_2017-04-29,11.8675
air_00a91d42b08b08d9_2017-04-30,5.5205
air_00a91d42b08b08d9_2017-05-01,24.1468
air_00a91d42b08b08d9_2017-05-02,31.7741
air_00a91d42b08b08d9_2017-05-03,22.5279
air_00a91d42b08b08d9_2017-05-04,19.0000
air_00a91d42b08b08d9_2017-05-05,21.4280
air_00a91d42b08b08d9_2017-05-06,9.4374
air_00a91d42b08b08d9_2017-05-07,5.6727
air_00a91d42b08b08d9_2017-05-08,25.7258
air_00a91d42b08b08d9_2017-05-09,28.0841
air_00a91d42b08b08d9_2017-05-10,29.7273
air_00a91d42b08b08d9_2017-05-11,31.8293
air_00a91d42b08b08d9_2017-05-12,37.2297
air_00a91d42b08b08d9_2017-05-13,9.5553
air_00a91d42b08b08d9_2017-05-14,5.8685
air_00a91d42b08b08d9_2017-05-15,25.6831
air_00a91d42b08b08d9_2017-05-16,29.1923
air_00a91d42b08b08d9_2017-05-17,30.5166
air_00a91d42b08b08d9_2017-05-18,32.0663
air_00a91d42b08b08d9_2017-05-19,36.7232
air_00a91d42b08b08d9_2017-05-20,9.2459
air_00a91d42b08b08d9_2017-05-21,5.9663
air_00a91d42b08b08d9_2017-05-22,25.4706
air_00a91d42b08b08d9_2017-05-23,28.0386
air_00a91d42b08b08d9_2017-05-24,30.8351
air_00a91d42b08b08d9_2017-05-25,33.7042
air_00a91d42b08b08d9_2017-05-26,37.2373
air_00a91d42b08b08d9_2017-05-27,9.4681
air_00a91d42b08b08d9_2017-05-28,6.2553
air_00a91d42b08b08d9_2017-05-29,27.2674
air_00a91d42b08b08d9_2017-05-30,27.4056
air_00a91d42b08b08d9_2017-05-31,32.0031
air_0164b9927d20bcc3_2017-04-23,3.0914
air_0164b9927d20bcc3_2017-04-24,5.0142
air_0164b9927d20bcc3_2017-04-25,9.4706
air_0164b9927d20bcc3_2017-04-26,9.2541
air_0164b9927d20bcc3_2017-04-27,10.9764
air_0164b9927d20bcc3_2017-04-28,8.8606
air_0164b9927d20bcc3_2017-04-29,3.8967
air_0164b9927d20bcc3_2017-04-30,2.6534
air_0164b9927d20bcc3_2017-05-01,7.2123
air_0164b9927d20bcc3_2017-05-02,10.4175
air_0164b9927d20bcc3_2017-05-03,6.3891
air_0164b9927d20bcc3_2017-05-04,5.3441
air_0164b9927d20bcc3_2017-05-05,5.3566
air_0164b9927d20bcc3_2017-05-06,3.7359
air_0164b9927d20bcc3_2017-05-07,3.1174
air_0164b9927d20bcc3_2017-05-08,6.0931
air_0164b9927d20bcc3_2017-05-09,10.3650
air_0164b9927d20bcc3_2017-05-10,8.7286
air_0164b9927d20bcc3_2017-05-11,8.3646
air_0164b9927d20bcc3_2017-05-12,9.5841
air_0164b9927d20bcc3_2017-05-13,8.0190
air_0164b9927d20bcc3_2017-05-14,2.8779
air_0164b9927d20bcc3_2017-05-15,5.6746
air_0164b9927d20bcc3_2017-05-16,8.2497
air_0164b9927d20bcc3_2017-05-17,8.6065
air_0164b9927d20bcc3_2017-05-18,8.2840
air_0164b9927d20bcc3_2017-05-19,9.3203
air_0164b9927d20bcc3_2017-05-20,3.8529
air_0164b9927d20bcc3_2017-05-21,2.9084
air_0164b9927d20bcc3_2017-05-22,5.8781
air_0164b9927d20bcc3_2017-05-23,7.9017
air_0164b9927d20bcc3_2017-05-24,8.6295
air_0164b9927d20bcc3_2017-05-25,9.0589
air_0164b9927d20bcc3_2017-05-26,9.3391
air_0164b9927d20bcc3_2017-05-27,3.8485
air_0164b9927d20bcc3_2017-05-28,3.0509
air_0164b9927d20bcc3_2017-05-29,5.8706
air_0164b9927d20bcc3_2017-05-30,8.1413
air_0164b9927d20bcc3_2017-05-31,8.4148
air_0241aa3964b7f861_2017-04-23,9.2503
air_0241aa3964b7f861_2017-04-24,7.9394
air_0241aa3964b7f861_2017-04-25,7.8194
air_0241aa3964b7f861_2017-04-26,8.4961
air_0241aa3964b7f861_2017-04-27,2.9048
air_0241aa3964b7f861_2017-04-28,9.3569
air_0241aa3964b7f861_2017-04-29,12.5026
air_0241aa3964b7f861_2017-04-30,9.4013
air_0241aa3964b7f861_2017-05-01,7.4787
air_0241aa3964b7f861_2017-05-02,9.1075
air_0241aa3964b7f861_2017-05-03,11.2424
air_0241aa3964b7f861_2017-05-04,5.6854
air_0241aa3964b7f861_2017-05-05,8.2759
air_0241aa3964b7f861_2017-05-06,9.9910
air_0241aa3964b7f861_2017-05-07,8.4393
air_0241aa3964b7f861_2017-05-08,7.7187
air_0241aa3964b7f861_2017-05-09,7.5394
air_0241aa3964b7f861_2017-05-10,8.3051
air_0241aa3964b7f861_2017-05-11,2.8011
air_0241aa3964b7f861_2017-05-12,8.3793
air_0241aa3964b7f861_2017-05-13,10.9816
air_0241aa3964b7f861_2017-05-14,9.2833
air_0241aa3964b7f861_2017-05-15,8.4406
air_0241aa3964b7f861_2017-05-16,8.0803
air_0241aa3964b7f861_2017-05-17,8.6221
air_0241aa3964b7f861_2017-05-18,2.8243
air_0241aa3964b7f861_2017-05-19,8.6269
air_0241aa3964b7f861_2017-05-20,11.0930
air_0241aa3964b7f861_2017-05-21,9.5482
air_0241aa3964b7f861_2017-05-22,8.4735
air_0241aa3964b7f861_2017-05-23,7.8491
air_0241aa3964b7f861_2017-05-24,8.6380
air_0241aa3964b7f861_2017-05-25,2.9083
air_0241aa3964b7f861_2017-05-26,8.6966
air_0241aa3964b7f861_2017-05-27,11.2651
air_0241aa3964b7f861_2017-05-28,9.7180
air_0241aa3964b7f861_2017-05-29,8.7618
air_0241aa3964b7f861_2017-05-30,7.4784
air_0241aa3964b7f861_2017-05-31,8.6562
air_0328696196e46f18_2017-04-23,8.5679
air_0328696196e46f18_2017-04-24,4.7011
air_0328696196e46f18_2017-04-25,6.1139
air_0328696196e46f18_2017-04-26,5.9330
air_0328696196e46f18_2017-04-27,6.4870
air_0328696196e46f18_2017-04-28,8.6528
air_0328696196e46f18_2017-04-29,8.2050
air_0328696196e46f18_2017-04-30,11.0334
air_0328696196e46f18_2017-05-01,4.6723
air_0328696196e46f18_2017-05-02,7.4937
air_0328696196e46f18_2017-05-03,9.0054
air_0328696196e46f18_2017-05-04,13.9479
air_0328696196e46f18_2017-05-05,8.9867
air_0328696196e46f18_2017-05-06,7.1975
air_0328696196e46f18_2017-05-07,9.4919
air_0328696196e46f18_2017-05-08,5.5417
air_0328696196e46f18_2017-05-09,5.9918
air_0328696196e46f18_2017-05-10,5.7814
air_0328696196e46f18_2017-05-11,6.4018
air_0328696196e46f18_2017-05-12,6.1287
air_0328696196e46f18_2017-05-13,5.6478
air_0328696196e46f18_2017-05-14,7.9339
air_0328696196e46f18_2017-05-15,4.6360
air_0328696196e46f18_2017-05-16,6.3446
air_0328696196e46f18_2017-05-17,5.9906
air_0328696196e46f18_2017-05-18,6.2706
air_0328696196e46f18_2017-05-19,6.0838
air_0328696196e46f18_2017-05-20,5.7399
air_0328696196e46f18_2017-05-21,8.1505
air_0328696196e46f18_2017-05-22,4.6286
air_0328696196e46f18_2017-05-23,6.0876
air_0328696196e46f18_2017-05-24,6.0664
air_0328696196e46f18_2017-05-25,6.4211
air_0328696196e46f18_2017-05-26,6.2048
air_0328696196e46f18_2017-05-27,5.6127
air_0328696196e46f18_2017-05-28,8.1984
air_0328696196e46f18_2017-05-29,4.6882
air_0328696196e46f18_2017-05-30,6.0871
air_0328696196e46f18_2017-05-31,5.8784
air_034a3d5b40d5b1b1_2017-04-23,30.5545
air_034a3d5b40d5b1b1_2017-04-24,14.2645
air_034a3d5b40d5b1b1_2017-04-25,14.4125
air_034a3d5b40d5b1b1_2017-04-26,20.4655
air_034a3d5b40d5b1b1_2017-04-27,15.2115
air_034a3d5b40d5b1b1_2017-04-28,20.3091
air_034a3d5b40d5b1b1_2017-04-29,28.5330
air_034a3d5b40d5b1b1_2017-04-30,29.3678
air_034a3d5b40d5b1b1_2017-05-01,13.6323
air_034a3d5b40d5b1b1_2017-05-02,18.2422
air_034a3d5b40d5b1b1_2017-05-03,21.0164
air_034a3d5b40d5b1b1_2017-05-04,17.7173
air_034a3d5b40d5b1b1_2017-05-05,21.1004
air_034a3d5b40d5b1b1_2017-05-06,27.5514
air_034a3d5b40d5b1b1_2017-05-07,30.6374
air_034a3d5b40d5b1b1_2017-05-08,14.9290
air_034a3d5b40d5b1b1_2017-05-09,13.1077
air_034a3d5b40d5b1b1_2017-05-10,18.5339
air_034a3d5b40d5b1b1_2017-05-11,14.7030
air_034a3d5b40d5b1b1_2017-05-12,21.1905
air_034a3d5b40d5b1b1_2017-05-13,29.5842
air_034a3d5b40d5b1b1_2017-05-14,30.7383
air_034a3d5b40d5b1b1_2017-05-15,14.7938
air_034a3d5b40d5b1b1_2017-05-16,13.8720
air_034a3d5b40d5b1b1_2017-05-17,18.6687
air_034a3d5b40d5b1b1_2017-05-18,14.6638
air_034a3d5b40d5b1b1_2017-05-19,21.0276
air_034a3d5b40d5b1b1_2017-05-20,30.8788
air_034a3d5b40d5b1b1_2017-05-21,31.1410
air_034a3d5b40d5b1b1_2017-05-22,13.0476
air_034a3d5b40d5b1b1_2017-05-23,13.0829
air_034a3d5b40d5b1b1_2017-05-24,17.9064
air_034a3d5b40d5b1b1_2017-05-25,16.1031
air_034a3d5b40d5b1b1_2017-05-26,21.7104
air_034a3d5b40d5b1b1_2017-05-27,30.2044
air_034a3d5b40d5b1b1_2017-05-28,30.9243
air_034a3d5b40d5b1b1_2017-05-29,15.0684
air_034a3d5b40d5b1b1_2017-05-30,12.2162
air_034a3d5b40d5b1b1_2017-05-31,18.2202
air_036d4f1ee7285390_2017-04-23,21.2115
air_036d4f1ee7285390_2017-04-24,15.5549
air_036d4f1ee7285390_2017-04-25,17.9974
air_036d4f1ee7285390_2017-04-26,21.1883
air_036d4f1ee7285390_2017-04-27,16.2716
air_036d4f1ee7285390_2017-04-28,17.8479
air_036d4f1ee7285390_2017-04-29,18.2184
air_036d4f1ee7285390_2017-04-30,20.9625
air_036d4f1ee7285390_2017-05-01,14.9658
air_036d4f1ee7285390_2017-05-02,19.1135
air_036d4f1ee7285390_2017-05-03,19.8416
air_036d4f1ee7285390_2017-05-04,14.7559
air_036d4f1ee7285390_2017-05-05,15.5471
air_036d4f1ee7285390_2017-05-06,19.0194
air_036d4f1ee7285390_2017-05-07,18.8905
air_036d4f1ee7285390_2017-05-08,15.1573
air_036d4f1ee7285390_2017-05-09,17.9027
air_036d4f1ee7285390_2017-05-10,20.2461
air_036d4f1ee7285390_2017-05-11,16.0898
air_036d4f1ee7285390_2017-05-12,18.9615
air_036d4f1ee7285390_2017-05-13,21.1326
air_036d4f1ee7285390_2017-05-14,20.2831
air_036d4f1ee7285390_2017-05-15,16.1394
air_036d4f1ee7285390_2017-05-16,18.3887
air_036d4f1ee7285390_2017-05-17,20.6253
air_036d4f1ee7285390_2017-05-18,15.9917
air_036d4f1ee7285390_2017-05-19,18.5144
air_036d4f1ee7285390_2017-05-20,20.8707
air_036d4f1ee7285390_2017-05-21,21.2944
air_036d4f1ee7285390_2017-05-22,15.7689
air_036d4f1ee7285390_2017-05-23,17.1335
air_036d4f1ee7285390_2017-05-24,20.8666
air_036d4f1ee7285390_2017-05-25,16.8751
air_036d4f1ee7285390_2017-05-26,19.0773
air_036d4f1ee7285390_2017-05-27,21.0202
air_036d4f1ee7285390_2017-05-28,21.9072
air_036d4f1ee7285390_2017-05-29,16.6308
air_036d4f1ee7285390_2017-05-30,16.6148
air_036d4f1ee7285390_2017-05-31,20.5528
air_0382c794b73b51ad_2017-04-23,35.5580
air_0382c794b73b51ad_2017-04-24,22.5790
air_0382c794b73b51ad_2017-04-25,25.1190
air_0382c794b73b51ad_2017-04-26,20.5419
air_0382c794b73b51ad_2017-04-27,24.1956
air_0382c794b73b51ad_2017-04-28,24.5504
air_0382c794b73b51ad_2017-04-29,34.4435
air_0382c794b73b51ad_2017-04-30,35.9013
air_0382c794b73b51ad_2017-05-01,22.8154
air_0382c794b73b51ad_2017-05-02,26.7235
air_0382c794b73b51ad_2017-05-03,31.6750
air_0382c794b73b51ad_2017-05-04,31.7893
air_0382c794b73b51ad_2017-05-05,29.6212
air_0382c794b73b51ad_2017-05-06,32.7876
air_0382c794b73b51ad_2017-05-07,37.0134
air_0382c794b73b51ad_2017-05-08,23.4407
air_0382c794b73b51ad_2017-05-09,24.8554
air_0382c794b73b51ad_2017-05-10,19.8766
air_0382c794b73b51ad_2017-05-11,23.2803
air_0382c794b73b51ad_2017-05-12,25.5405
air_0382c794b73b51ad_2017-05-13,33.9646
air_0382c794b73b51ad_2017-05-14,37.0951
air_0382c794b73b51ad_2017-05-15,23.7616
air_0382c794b73b51ad_2017-05-16,25.2383
air_0382c794b73b51ad_2017-05-17,20.2718
air_0382c794b73b51ad_2017-05-18,23.5229
air_0382c794b73b51ad_2017-05-19,24.8141
air_0382c794b73b51ad_2017-05-20,33.9359
air_0382c794b73b51ad_2017-05-21,37.7747
air_0382c794b73b51ad_2017-05-22,23.3683
air_0382c794b73b51ad_2017-05-23,24.6068
air_0382c794b73b51ad_2017-05-24,19.7732
air_0382c794b73b51ad_2017-05-25,23.9978
air_0382c794b73b51ad_2017-05-26,25.7742
air_0382c794b73b51ad_2017-05-27,34.6075
air_0382c794b73b51ad_2017-05-28,38.4488
air_0382c794b73b51ad_2017-05-29,23.5205
air_0382c794b73b51ad_2017-05-30,24.3267
air_0382c794b73b51ad_2017-05-31,19.6397
air_03963426c9312048_2017-04-23,10.7759
air_03963426c9312048_2017-04-24,19.0492
air_03963426c9312048_2017-04-25,18.6758
air_03963426c9312048_2017-04-26,34.2745
air_03963426c9312048_2017-04-27,22.2281
air_03963426c9312048_2017-04-28,68.7150
air_03963426c9312048_2017-04-29,55.1055
air_03963426c9312048_2017-04-30,11.5296
air_03963426c9312048_2017-05-01,32.3044
air_03963426c9312048_2017-05-02,39.3731
air_03963426c9312048_2017-05-03,32.4273
air_03963426c9312048_2017-05-04,26.8480
air_03963426c9312048_2017-05-05,53.9448
air_03963426c9312048_2017-05-06,52.1650
air_03963426c9312048_2017-05-07,10.1657
air_03963426c9312048_2017-05-08,26.2949
air_03963426c9312048_2017-05-09,19.8319
air_03963426c9312048_2017-05-10,21.3906
air_03963426c9312048_2017-05-11,21.9263
air_03963426c9312048_2017-05-12,71.7877
air_03963426c9312048_2017-05-13,58.9304
air_03963426c9312048_2017-05-14,10.1242
air_03963426c9312048_2017-05-15,20.7105
air_03963426c9312048_2017-05-16,20.8840
air_03963426c9312048_2017-05-17,22.9753
air_03963426c9312048_2017-05-18,22.0701
air_03963426c9312048_2017-05-19,76.5925
air_03963426c9312048_2017-05-20,58.1666
air_03963426c9312048_2017-05-21,10.3231
air_03963426c9312048_2017-05-22,18.4011
air_03963426c9312048_2017-05-23,19.5831
air_03963426c9312048_2017-05-24,25.0409
air_03963426c9312048_2017-05-25,26.2964
air_03963426c9312048_2017-05-26,77.6658
air_03963426c9312048_2017-05-27,59.4820
air_03963426c9312048_2017-05-28,11.1605
air_03963426c9312048_2017-05-29,20.9655
air_03963426c9312048_2017-05-30,18.7756
air_03963426c9312048_2017-05-31,24.6398
air_04341b588bde96cd_2017-04-23,38.3877
air_04341b588bde96cd_2017-04-24,29.4778
air_04341b588bde96cd_2017-04-25,27.2183
air_04341b588bde96cd_2017-04-26,28.1356
air_04341b588bde96cd_2017-04-27,23.9357
air_04341b588bde96cd_2017-04-28,43.1261
air_04341b588bde96cd_2017-04-29,49.2422
air_04341b588bde96cd_2017-04-30,39.2005
air_04341b588bde96cd_2017-05-01,28.5466
air_04341b588bde96cd_2017-05-02,32.5036
air_04341b588bde96cd_2017-05-03,35.1284
air_04341b588bde96cd_2017-05-04,38.6474
air_04341b588bde96cd_2017-05-05,41.0415
air_04341b588bde96cd_2017-05-06,42.0299
air_04341b588bde96cd_2017-05-07,34.5699
air_04341b588bde96cd_2017-05-08,31.2042
air_04341b588bde96cd_2017-05-09,27.3991
air_04341b588bde96cd_2017-05-10,27.8674
air_04341b588bde96cd_2017-05-11,22.7373
air_04341b588bde96cd_2017-05-12,46.1968
air_04341b588bde96cd_2017-05-13,49.6040
